No.,ID,TIMESTAMP
1,30273,1713602852034
2,11647,1713602857034
3,37828,1713602862035
4,41435,1713602867039
5,40524,1713602872045
6,40836,1713602877047
7,43278,1713602882063
8,44075,1713602887066
9,31880,1713602892065
10,16661,1713602897075
11,9402,1713602902095
12,32150,1713602907096
13,32254,1713602912098
14,33353,1713602917103
15,13502,1713602922103
16,27260,1713602927118
17,29696,1713602932138
18,32856,1713602937139
19,40741,1713602942142
20,34464,1713602947150
21,41127,1713602952151
22,32438,1713602957175
23,5752,1713602962179
24,44655,1713602967180
25,39969,1713602972194
26,34913,1713602977201
27,49247,1713602982202
28,29194,1713602987207
29,45908,1713602992208
30,32121,1713602997209
31,37164,1713603002218
32,42190,1713603007239
33,4622,1713603012240
34,17499,1713603017244
35,18877,1713603022266
36,40397,1713603027267
37,22922,1713603032274
38,40547,1713603037280
39,5684,1713603042281
40,19045,1713603047302
41,7223,1713603052320
42,40412,1713603057322
43,5294,1713603062326
44,18971,1713603067338
45,33806,1713603072340
46,5384,1713603077359
47,43685,1713603082363
48,6100,1713603087364
49,416,1713603092366
50,48549,1713603097386
51,35003,1713603102388
52,45820,1713603107397
53,43804,1713603112402
54,22709,1713603117404
55,17676,1713603122407
56,45732,1713603127422
57,25724,1713603132424
58,29114,1713603137446
59,44284,1713603142466
60,4295,1713603147468
61,27849,1713603152490
62,24682,1713603157494
63,9169,1713603162496
64,40292,1713603167514
65,1687,1713603172525
66,3244,1713603177528
67,6396,1713603182548
68,37537,1713603187552
69,20991,1713603192554
70,24596,1713603197566
71,18220,1713603202589
72,34773,1713603207590
73,31498,1713603212594
74,45617,1713603217614
75,6223,1713603222616
76,881,1713603227619
77,42744,1713603232638
78,32895,1713603237640
79,6899,1713603242661
80,26100,1713603247680
